player,referrer,source
0x45691f334bf9871a143d284c4c7dcbe8601c8eb6,0x1a60fdc5eac05cb6a7f11c53fa14b0294d5ec22a,file1-v4
0x47041780043776ac1adfef6ea1e3b62bade1aed9,0xc6831eddaeebe2ebfe5e98ec7123845a6dcaed6a,file1-v4
0x4759d7c016a82bb5cd632fa8d8e5db13bbc3810f,0xdc616aa8afab3d82f39dbf56864cd4940ad31905,file2
0x47aac27978d1614656373aaafd0af7091617a101,0x222550d049a3834f6f4300c3946480f158846d5e,file1-v4
0x47b97003ca11f6aa5f154926fbd299e442cfe040,0x316e41c59e2917c3efbd708d77e917ec83125000,file2
0x47f35c4e3ce9957a37479a6e0b7184b26707c13a,0xb55b122495aecc8da5aee034e93367afa833ac72,file2
0x4886b971ef5139a0dacfd5885eb4e1dce9c14f75,0x222550d049a3834f6f4300c3946480f158846d5e,file1-v4
0x48a822f553353ff10f454a8cf9e78567ab3bece2,0x87bb34d6c98024746ec17f885fdb76922791489c,file2
0x491aa00fa05060ccd7c82aec8d46e60645eedecd,0x5ee14ad58471186540bb494fb0d309327bff0fde,file2
0x49e09ee3b5b7695197101f85103120b392a72b7f,0xecc28bec437fdf6b92c30b96b6c4e67f003694c6,file2
0x4a432ea127c3783d49cd3e3a77792e9397976119,0x5062d40c8114e6f8262fd2f31ce4526a0d8c90fa,file2
0x4bfe4420f4ebdb4b04d63dba0437e2d9e1f3533e,0xb8d6c45868f9afda9dd719b36802047b213ea6f1,file2
0x4d48f9640592f997a690d1cfe55b95f4694ef19b,0x222550d049a3834f6f4300c3946480f158846d5e,file1-v4
0x4d9378da9cfba3730792dbdceb79e7c5666289b8,0xe8fa65ae8e23874771fa6fd765b7eaf3e959e4d7,file2
0x4e9ac6006bb89dde6f7dafe212e96e1f5b6c52bc,0xae703fd67e101942465401bebe2c7d51fbd2f2d6,file1-v4
0x4f3942d58d1058e39a8fb39efa1f11d5d9d945a3,0xe43c6d8a9674c5c3f8e97bea99197a076ce64ecd,file1-v4
0x4f5b9ce8bf8e1d7db5d60271d457efa0c7f7a7c0,0x8e7fe7f66f30da63bf73e6c066d161102a398b19,file2
0x4fe634debf1ceace3ac537674cff79b4d600ff86,0x8b649313e5aa4ced2b248ca9072fd48644c36efa,file2
0x5055b24bf75da4f10725d7c820679a004117dd57,0xae703fd67e101942465401bebe2c7d51fbd2f2d6,file1-v4
0x5062d40c8114e6f8262fd2f31ce4526a0d8c90fa,0x8e7fe7f66f30da63bf73e6c066d161102a398b19,file2
0x50b41b3a57b0491235be8dce794904caf9289b98,0x8689d1d8471bf5f97efe9fdd96fa242a596d7b49,file1-v4
0x5161615d6e8fec99adead6debff6c5d9b02a892c,0x298739c5d431159d26b7de9e43a8c2e6e74a9063,file1-v4
0x53010ccd0bdc4343436d63fd85ad2e41c97d42d5,0x36d2ee8dce85937796f250d79576dc46b03ad7f6,file2
0x53265e014f9871c84e9e885151bf633f6a48e05a,0x8e7fe7f66f30da63bf73e6c066d161102a398b19,file2
0x532c5b7c7e172310937d4886772bdc58df4bfc65,0x65fa6c8a95fa431fbd9c5c9e8a3025b23ac50dec,file2
0x543b15c9761e5d3b63cb6333f59dafca00fa8b1a,0x5ee14ad58471186540bb494fb0d309327bff0fde,file2
0x547dde3c0cbfa61e3c980eaac893e620eb356c3c,0xc9bfc3383c329d4903de9d4822edb330ddd65184,file2
0x548f0cf3c5b1f58b57e6e1cca6eed8ccd59e3dab,0xc70f58eb16f16dba30ff2c08e8b39bc0989550ed,file2
0x54e0ee9b7be69d156a0907f7f6e278198ac4b03c,0x8fa53af35600a4cd259b0c6b9cda03004779b05c,file2
0x5539a731066aebed8dda5d17561a4c58b0e111ec,0xf48eb579acd833e30afcdf43b158c567b3560076,file1-v4
0x55ba1b88170d714873adeb212b6b2c5025fab22c,0xeaef0d634a43723f4304790538ebc14a7d5cfa0c,file1-v4
0x5644765d97507bd8793902f02a8fd4486ac817ae,0x0eb8169af1de46900b20fc31a1e8eb31366af567,file2
0x579962c7e0a71d9e18c7d3ebd30a8e49f001fa2a,0x316e41c59e2917c3efbd708d77e917ec83125000,file2
0x58a0b5c29e5665e354f2bb0e3057aef05fc08912,0x8e7fe7f66f30da63bf73e6c066d161102a398b19,file2
0x58e34ddc17a8d3c01c8d85c45bdc5035dec1bb54,0xc4eedea47242617977a77c35fe54f70d7e4bb2f0,file1-v4
0x58e45871174584fbf1af0e57f404ef4ce9deee45,0xe43c6d8a9674c5c3f8e97bea99197a076ce64ecd,file1-v4
0x592d5f79d081a719d487efeb55e8c822c3782ddd,0x809a51e7482e01a13d606c030588623789ec4a9b,file1-v4
0x5952c90d909c401c1c3fc512ef99f5aa289a3247,0x0467674bbf7e540a4954e9905c500c0e55407311,file1-v4
